               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11082,            0.049134,             0.15218,          8.8856e-05,           0.0080645,           0.0001546,          3.4223e-05,            0.090217,            0.039921,             0.14056,            0.070789,           0.0032456,           0.0032456
                   1,            0.084658,            0.058559,             0.14416,            0.001063,            0.034204,           0.0016932,          0.00048451,            0.076019,            0.044229,             0.13434,            0.040789,           0.0065783,           0.0065783
                   2,            0.077062,            0.049141,             0.14158,           0.0019546,            0.037339,           0.0026677,          0.00078793,            0.082073,            0.036278,             0.12916,            0.010788,           0.0099103,           0.0099103
                   3,             0.07374,            0.048462,             0.13873,           0.0020265,            0.078956,           0.0033188,           0.0012267,            0.064772,            0.038962,             0.12534,            0.009997,            0.009997,            0.009997
                   4,            0.068213,            0.047777,             0.13585,           0.0040796,            0.097346,            0.012277,           0.0070536,            0.062187,            0.035156,             0.12262,            0.009997,            0.009997,            0.009997
                   5,            0.066313,            0.050835,             0.13408,           0.0042243,             0.12847,            0.010263,           0.0039739,            0.056366,            0.037292,             0.11996,            0.009996,            0.009996,            0.009996
                   6,            0.060504,            0.047494,             0.13154,           0.0032783,            0.094349,           0.0097783,           0.0043522,            0.053914,            0.034927,             0.11736,           0.0099951,           0.0099951,           0.0099951
                   7,            0.059704,            0.041726,             0.12947,            0.003191,              0.1071,             0.01099,           0.0041868,            0.055695,            0.033312,             0.11494,           0.0099941,           0.0099941,           0.0099941
                   8,            0.059126,            0.045027,             0.12606,           0.0036683,             0.12557,            0.014389,           0.0060412,            0.052761,             0.03205,             0.11327,           0.0099931,           0.0099931,           0.0099931
                   9,            0.057143,            0.044529,              0.1229,           0.0032611,             0.13429,              0.0112,           0.0044528,            0.055155,             0.03045,             0.11105,           0.0099921,           0.0099921,           0.0099921
