               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033635,            0.035181,            0.021972,              0.7813,             0.60456,             0.70268,              0.4912,             0.02969,            0.022627,            0.011869,           0.0099654,           0.0099654,           0.0099654
                  37,            0.034233,            0.033606,             0.02172,             0.84704,             0.59974,             0.70474,             0.49667,            0.027959,            0.022608,            0.011359,           0.0099644,           0.0099644,           0.0099644
                  38,            0.032491,            0.035262,            0.022862,             0.79041,             0.60255,             0.70853,              0.4987,            0.028559,            0.022367,            0.011235,           0.0099634,           0.0099634,           0.0099634
                  39,            0.032802,             0.03508,            0.022118,             0.77894,             0.62637,             0.70203,             0.50364,            0.028873,            0.022294,            0.010853,           0.0099624,           0.0099624,           0.0099624
                  40,            0.032493,            0.033476,            0.020469,             0.83971,             0.60332,             0.70796,             0.49836,            0.028802,            0.022409,            0.010718,           0.0099614,           0.0099614,           0.0099614
                  41,            0.033447,            0.033764,            0.022249,             0.89179,             0.59821,             0.70854,             0.50034,            0.028773,            0.022404,            0.010714,           0.0099604,           0.0099604,           0.0099604
                  42,            0.032428,             0.03487,            0.019391,             0.82946,             0.62128,             0.71065,             0.51527,            0.027524,             0.02149,            0.010502,           0.0099594,           0.0099594,           0.0099594
                  43,            0.031182,            0.034086,            0.021433,             0.88984,             0.61194,             0.72221,             0.52054,            0.027819,            0.021922,            0.010047,           0.0099584,           0.0099584,           0.0099584
                  44,            0.033126,            0.034183,            0.020962,             0.83342,              0.6254,             0.71406,             0.50252,            0.029246,            0.021737,            0.010205,           0.0099574,           0.0099574,           0.0099574
                  45,            0.032631,            0.033348,            0.019837,              0.8637,             0.61831,             0.73794,             0.52094,            0.027399,            0.021363,           0.0099791,           0.0099564,           0.0099564,           0.0099564
                  46,            0.032614,            0.032995,            0.019115,             0.88603,             0.61657,             0.71987,             0.50827,             0.02759,            0.021289,            0.009974,           0.0099555,           0.0099555,           0.0099555
