               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030679,            0.028036,            0.020127,             0.91737,             0.65081,             0.70414,             0.51535,            0.025455,            0.017741,           0.0094601,           0.0099307,           0.0099307,           0.0099307
                  37,            0.030681,            0.028423,            0.018957,             0.91664,             0.65954,             0.71265,              0.5412,             0.02466,            0.017336,           0.0086373,           0.0099287,           0.0099287,           0.0099287
                  38,            0.030525,            0.028496,             0.01914,             0.93031,             0.65052,             0.71264,             0.53853,             0.02467,            0.017502,           0.0086642,           0.0099268,           0.0099268,           0.0099268
                  39,            0.030829,            0.028623,            0.017787,             0.92846,             0.65899,             0.71943,             0.53936,            0.024571,            0.017088,           0.0082383,           0.0099248,           0.0099248,           0.0099248
                  40,            0.030908,            0.027186,            0.018212,             0.89905,              0.6719,             0.71741,             0.53416,            0.025929,            0.017162,           0.0083741,           0.0099228,           0.0099228,           0.0099228
                  41,            0.030853,            0.028066,            0.017877,             0.91404,             0.66931,             0.71843,             0.53034,            0.025823,            0.017579,           0.0083269,           0.0099208,           0.0099208,           0.0099208
                  42,            0.030812,            0.027797,            0.017266,             0.91392,             0.65596,             0.72042,             0.54026,            0.025421,            0.016959,           0.0079414,           0.0099188,           0.0099188,           0.0099188
                  43,            0.029849,            0.028037,            0.016572,             0.92706,             0.67089,             0.72634,             0.55513,            0.024311,             0.01658,           0.0076944,           0.0099169,           0.0099169,           0.0099169
                  44,            0.031085,            0.027695,            0.017301,             0.93245,             0.66722,             0.72359,             0.54197,            0.025086,            0.016679,           0.0077164,           0.0099149,           0.0099149,           0.0099149
                  45,            0.030646,            0.026449,            0.018152,             0.92847,              0.6668,             0.73742,             0.56192,            0.024485,            0.016627,           0.0076661,           0.0099129,           0.0099129,           0.0099129
                  46,            0.030797,            0.027324,            0.017211,              0.9275,             0.67126,             0.73172,             0.55884,            0.023843,            0.016861,           0.0076157,           0.0099109,           0.0099109,           0.0099109
                  47,            0.030392,            0.027191,            0.017364,             0.91581,             0.66922,             0.73455,             0.55098,            0.023879,            0.016439,           0.0075671,           0.0099089,           0.0099089,           0.0099089
                  48,            0.030269,            0.027641,             0.01779,             0.91223,             0.67481,             0.74133,              0.5642,              0.0242,             0.01663,            0.007329,            0.009907,            0.009907,            0.009907
                  49,            0.030787,            0.027694,            0.016432,             0.92473,              0.6707,             0.74075,              0.5512,            0.025042,            0.016787,           0.0074035,            0.009905,            0.009905,            0.009905
                  50,            0.030829,            0.025885,            0.016104,             0.92316,             0.67074,             0.73714,             0.55954,            0.024688,            0.016591,           0.0073747,            0.009903,            0.009903,            0.009903
                  51,            0.030994,            0.027284,            0.017005,             0.91867,             0.67711,             0.74313,             0.55457,            0.024964,            0.016475,           0.0071368,            0.009901,            0.009901,            0.009901
                  52,            0.029869,            0.026104,            0.017588,             0.92421,             0.67754,             0.74421,             0.56492,            0.024365,             0.01657,           0.0071645,            0.009899,            0.009899,            0.009899
                  53,            0.030094,            0.027055,            0.017609,              0.9213,             0.68066,             0.75012,             0.57657,            0.023312,            0.016445,           0.0071265,           0.0098971,           0.0098971,           0.0098971
                  54,            0.028728,            0.026567,            0.016298,             0.92443,             0.67668,              0.7548,             0.56598,            0.024506,             0.01657,           0.0068727,           0.0098951,           0.0098951,           0.0098951
                  55,            0.030568,            0.026207,             0.01509,             0.93343,             0.67738,             0.75874,             0.58512,            0.023976,            0.016207,           0.0069081,           0.0098931,           0.0098931,           0.0098931
                  56,            0.030021,            0.026059,            0.016652,             0.92509,              0.6769,              0.7619,             0.58867,            0.023713,            0.016568,           0.0068718,           0.0098911,           0.0098911,           0.0098911
                  57,            0.029298,            0.026242,             0.01644,             0.92458,             0.68094,             0.76205,             0.57976,            0.023667,            0.016579,           0.0067178,           0.0098891,           0.0098891,           0.0098891
                  58,            0.030446,            0.025744,            0.015336,             0.91738,             0.68447,             0.76361,             0.57812,            0.024483,            0.016634,           0.0066808,           0.0098872,           0.0098872,           0.0098872
                  59,            0.029911,            0.027646,            0.017416,             0.90573,             0.69659,             0.76771,             0.58725,            0.023268,            0.016175,           0.0064266,           0.0098852,           0.0098852,           0.0098852
                  60,            0.029794,            0.027596,            0.016282,             0.92459,             0.67759,              0.7668,             0.59071,            0.022809,            0.016149,           0.0065832,           0.0098832,           0.0098832,           0.0098832
                  61,            0.028778,            0.025298,            0.015188,             0.91127,             0.68368,             0.76877,             0.58574,            0.023303,            0.016138,           0.0062385,           0.0098812,           0.0098812,           0.0098812
                  62,            0.029625,            0.025498,            0.015036,               0.918,             0.67683,             0.75526,              0.5801,            0.023881,            0.016035,           0.0062932,           0.0098792,           0.0098792,           0.0098792
                  63,            0.029385,            0.026313,            0.015856,             0.93773,             0.68537,             0.76745,             0.58691,              0.0232,            0.016139,            0.006261,           0.0098773,           0.0098773,           0.0098773
