               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.050128,             0.07659,             0.10278,              0.4694,             0.10428,             0.10618,             0.06084,            0.042728,            0.046299,            0.082658,            0.070476,           0.0032804,           0.0032804
                   1,             0.04544,            0.054042,            0.090106,             0.51472,             0.12178,             0.12882,            0.076376,            0.040449,            0.039571,             0.07381,            0.040463,           0.0066007,           0.0066007
                   2,             0.04291,            0.050999,            0.077459,             0.59468,             0.13644,             0.17553,             0.10593,            0.040614,            0.035339,            0.062404,            0.010437,           0.0099077,           0.0099077
                   3,            0.044792,            0.050026,            0.067194,             0.56783,             0.20127,             0.22676,             0.13496,            0.038631,            0.034171,            0.052606,           0.0099406,           0.0099406,           0.0099406
                   4,            0.042297,             0.04525,            0.064659,             0.57212,             0.22093,             0.23752,             0.13701,            0.038137,            0.031915,            0.049248,           0.0099406,           0.0099406,           0.0099406
                   5,            0.041769,            0.045162,              0.0599,             0.61763,              0.2294,             0.28087,             0.16609,            0.036934,            0.031497,            0.042942,           0.0099208,           0.0099208,           0.0099208
                   6,            0.040771,            0.043491,            0.055356,             0.63418,               0.255,             0.31265,             0.18878,            0.035865,            0.029582,            0.040015,            0.009901,            0.009901,            0.009901
                   7,            0.039713,            0.044617,            0.052189,             0.64745,             0.27933,             0.34895,             0.21448,            0.035992,            0.028771,            0.037153,           0.0098812,           0.0098812,           0.0098812
                   8,            0.040576,            0.042728,            0.049036,              0.6485,             0.28077,             0.36103,             0.21687,            0.035082,            0.029278,            0.034493,           0.0098614,           0.0098614,           0.0098614
                   9,            0.038848,            0.042278,            0.046813,             0.65012,              0.2878,             0.37652,             0.22563,            0.035526,            0.028388,            0.034007,           0.0098416,           0.0098416,           0.0098416
