               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.01727,            0.016015,           0.0027169,             0.91739,             0.97573,             0.98998,             0.80843,            0.018245,            0.012293,          0.00069374,            0.070476,           0.0032804,           0.0032804
                   1,            0.028179,            0.019941,           0.0028369,             0.80572,             0.96886,             0.97996,             0.70532,            0.026414,            0.013293,          0.00074739,            0.040476,           0.0066131,           0.0066131
                   2,            0.032923,            0.021586,           0.0038079,             0.75193,             0.95759,             0.98121,             0.73692,            0.027932,            0.012945,           0.0011261,            0.010474,           0.0099451,           0.0099451
                   3,            0.032219,            0.021602,           0.0059105,             0.77964,             0.96615,             0.98378,             0.73467,            0.026371,            0.013473,           0.0019871,            0.009997,            0.009997,            0.009997
                   4,            0.028946,            0.020389,            0.007083,             0.84024,             0.94664,             0.98517,             0.72766,            0.022968,            0.012987,             0.00212,            0.009997,            0.009997,            0.009997
                   5,             0.02792,            0.020953,            0.006927,             0.82918,             0.94516,             0.98463,             0.75129,            0.024782,            0.013214,           0.0020332,            0.009996,            0.009996,            0.009996
                   6,              0.0294,            0.021371,           0.0069598,             0.82078,             0.95275,             0.97564,             0.70362,            0.023773,            0.013636,           0.0019497,           0.0099951,           0.0099951,           0.0099951
                   7,            0.028612,            0.022286,           0.0070137,             0.82717,             0.96854,             0.98471,             0.72434,            0.023589,            0.013933,           0.0019132,           0.0099941,           0.0099941,           0.0099941
                   8,            0.028246,            0.022027,           0.0068424,             0.74862,             0.95503,              0.9783,             0.74396,            0.024433,            0.013766,           0.0018883,           0.0099931,           0.0099931,           0.0099931
                   9,            0.027651,             0.02255,           0.0071714,             0.74078,             0.95779,             0.97408,              0.7183,              0.0247,            0.013818,           0.0020535,           0.0099921,           0.0099921,           0.0099921
                  10,            0.029864,            0.023117,           0.0076194,             0.79939,             0.94499,             0.98068,             0.70226,            0.025112,            0.014531,           0.0021593,           0.0099911,           0.0099911,           0.0099911
