               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.029003,            0.048713,            0.048185,             0.66679,             0.58442,             0.60188,              0.5575,            0.024655,            0.029689,            0.036446,            0.070476,           0.0032804,           0.0032804
                   1,            0.028273,            0.037465,            0.042106,             0.68994,             0.58326,             0.62332,              0.5513,            0.025389,            0.022943,            0.028989,            0.040476,           0.0066131,           0.0066131
                   2,            0.030525,            0.033869,            0.037739,             0.69653,             0.57853,             0.62346,              0.5031,            0.029599,            0.022353,            0.027936,            0.010474,           0.0099451,           0.0099451
                   3,             0.03232,            0.034454,            0.033516,              0.6762,             0.58744,             0.63076,             0.50469,             0.02749,            0.022371,            0.026558,            0.009997,            0.009997,            0.009997
                   4,            0.031349,            0.030776,            0.032942,              0.6558,             0.60057,             0.64271,             0.51605,            0.028339,            0.020593,            0.024555,            0.009997,            0.009997,            0.009997
                   5,            0.033234,            0.031091,            0.030457,             0.67869,             0.60958,             0.65819,              0.5177,            0.027707,             0.01979,            0.021245,            0.009996,            0.009996,            0.009996
                   6,             0.03108,            0.031154,            0.029911,             0.67914,             0.61396,               0.662,             0.52599,            0.026773,            0.019583,            0.019399,           0.0099951,           0.0099951,           0.0099951
                   7,            0.032582,             0.03136,            0.030774,             0.66474,             0.61468,             0.66809,             0.50105,            0.027732,             0.01995,            0.018795,           0.0099941,           0.0099941,           0.0099941
                   8,            0.031415,            0.031258,            0.029106,             0.67293,             0.62079,             0.67155,             0.51276,            0.027474,            0.018986,            0.017098,           0.0099931,           0.0099931,           0.0099931
                   9,            0.032351,            0.030219,             0.02924,             0.68148,             0.61778,             0.67455,             0.52894,            0.026653,            0.018786,            0.016579,           0.0099921,           0.0099921,           0.0099921
                  10,             0.03171,             0.03214,            0.028415,             0.66775,             0.63029,             0.67619,             0.52091,            0.027475,            0.019203,             0.01595,           0.0099911,           0.0099911,           0.0099911
                  11,            0.032219,            0.030111,            0.024679,             0.66272,             0.64643,             0.68699,             0.52219,            0.026779,            0.018825,            0.015218,           0.0099901,           0.0099901,           0.0099901
                  12,            0.031127,             0.02804,            0.023816,             0.67915,             0.64683,             0.69681,             0.53434,            0.026491,            0.018322,             0.01488,           0.0099891,           0.0099891,           0.0099891
                  13,             0.03189,            0.030025,            0.025132,             0.68494,             0.64808,             0.69138,             0.51849,            0.027515,            0.018066,            0.014463,           0.0099881,           0.0099881,           0.0099881
                  14,            0.032066,            0.029127,            0.023019,             0.66645,             0.64261,             0.69681,             0.51283,            0.029158,            0.018559,            0.014189,           0.0099871,           0.0099871,           0.0099871
                  15,            0.031828,            0.028535,            0.024222,             0.64392,             0.66162,             0.69915,             0.51897,            0.027612,            0.018173,              0.0143,           0.0099861,           0.0099861,           0.0099861
                  16,            0.031316,            0.028615,            0.023829,             0.67039,             0.66314,             0.70786,             0.53622,             0.02678,            0.018013,            0.013941,           0.0099851,           0.0099851,           0.0099851
                  17,             0.03187,            0.028919,            0.022525,             0.66495,             0.66174,             0.70985,              0.5036,            0.030327,            0.018228,            0.012925,           0.0099842,           0.0099842,           0.0099842
                  18,            0.033195,            0.029544,             0.02268,             0.67181,             0.65179,             0.71254,             0.53584,            0.027145,            0.018373,            0.013671,           0.0099832,           0.0099832,           0.0099832
                  19,            0.030436,            0.029448,            0.022947,             0.66633,             0.68179,             0.72378,             0.52896,            0.027761,            0.017018,             0.01263,           0.0099822,           0.0099822,           0.0099822
                  20,            0.031443,               0.027,            0.020097,              0.6887,             0.67225,               0.727,             0.53037,            0.027316,            0.016885,            0.012431,           0.0099812,           0.0099812,           0.0099812
                  21,            0.032477,            0.026145,            0.020564,             0.67878,             0.67876,             0.73116,              0.5418,            0.027209,            0.017127,            0.012754,           0.0099802,           0.0099802,           0.0099802
                  22,            0.031577,             0.02751,            0.022536,             0.69425,             0.66893,             0.73594,             0.55763,            0.025958,            0.016793,            0.011768,           0.0099792,           0.0099792,           0.0099792
                  23,            0.031002,            0.027633,            0.021796,             0.70942,              0.6752,             0.73701,             0.55836,            0.024999,            0.016552,            0.011604,           0.0099782,           0.0099782,           0.0099782
                  24,            0.032212,            0.028055,              0.0191,             0.69168,             0.68776,             0.73533,              0.5561,            0.026201,            0.016971,            0.011358,           0.0099772,           0.0099772,           0.0099772
                  25,            0.031187,            0.027769,            0.018976,             0.72443,             0.69731,             0.74661,             0.56195,            0.026341,             0.01654,            0.011163,           0.0099762,           0.0099762,           0.0099762
                  26,            0.031982,            0.029086,            0.020739,             0.71336,             0.69138,             0.74777,              0.5577,            0.027068,            0.016952,            0.011242,           0.0099753,           0.0099753,           0.0099753
                  27,            0.031622,            0.028263,            0.020147,             0.73736,             0.69382,             0.74992,             0.55578,            0.026095,            0.016302,            0.011225,           0.0099743,           0.0099743,           0.0099743
                  28,            0.032017,              0.0279,            0.020815,             0.73328,             0.69728,             0.75589,             0.56584,            0.025881,            0.016677,            0.010993,           0.0099733,           0.0099733,           0.0099733
                  29,            0.031906,             0.02948,            0.019393,              0.7485,             0.70405,             0.75629,             0.55563,            0.025616,            0.016081,            0.010739,           0.0099723,           0.0099723,           0.0099723
                  30,             0.03278,            0.027109,            0.018735,             0.74067,             0.70138,             0.75637,             0.53898,            0.028043,             0.01649,           0.0099756,           0.0099713,           0.0099713,           0.0099713
                  31,            0.030412,            0.026053,              0.0183,             0.72862,             0.71309,             0.75835,             0.58346,            0.025811,            0.015948,           0.0098411,           0.0099703,           0.0099703,           0.0099703
                  32,            0.030863,            0.026303,            0.016954,             0.72765,             0.70466,              0.7505,             0.55354,            0.027263,            0.016328,           0.0096337,           0.0099693,           0.0099693,           0.0099693
                  33,            0.030843,            0.026146,            0.017435,             0.76633,             0.70839,             0.75963,             0.57488,            0.025371,            0.015794,           0.0096331,           0.0099683,           0.0099683,           0.0099683
