               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.019967,            0.017364,           0.0053092,             0.95399,              0.9834,             0.99161,             0.88322,            0.014304,           0.0099398,           0.0010541,            0.070476,           0.0032804,           0.0032804
                   1,            0.019055,             0.01658,           0.0048851,             0.95846,             0.98243,             0.99185,             0.86132,            0.017683,            0.010584,          0.00084779,            0.040476,           0.0066131,           0.0066131
                   2,             0.02547,            0.018141,           0.0047581,             0.90446,             0.98469,             0.98697,             0.78889,            0.023436,             0.01162,          0.00086244,            0.010474,           0.0099451,           0.0099451
                   3,            0.026965,            0.019252,           0.0055673,             0.89988,             0.98573,             0.99135,             0.80384,             0.02277,            0.011693,           0.0013136,            0.009997,            0.009997,            0.009997
                   4,             0.02654,            0.017504,           0.0061836,             0.90542,             0.98545,             0.99169,             0.79824,            0.020954,            0.011606,           0.0014036,            0.009997,            0.009997,            0.009997
                   5,            0.026967,            0.018109,           0.0063153,             0.91397,             0.98575,             0.99036,             0.80918,            0.021501,              0.0117,           0.0012767,            0.009996,            0.009996,            0.009996
                   6,            0.025696,            0.018608,            0.006092,             0.91148,             0.98571,             0.99339,             0.80975,            0.021695,            0.011655,           0.0010918,           0.0099951,           0.0099951,           0.0099951
                   7,            0.027449,            0.019564,           0.0058046,             0.88723,             0.98349,             0.99221,             0.78674,            0.021854,             0.01206,           0.0011748,           0.0099941,           0.0099941,           0.0099941
                   8,            0.026607,            0.019469,           0.0059278,             0.88856,             0.98188,             0.98653,             0.77713,            0.022921,            0.012231,           0.0012151,           0.0099931,           0.0099931,           0.0099931
                   9,            0.026773,            0.019162,           0.0058434,             0.90271,             0.98333,             0.99078,             0.81384,            0.021514,            0.011755,           0.0012176,           0.0099921,           0.0099921,           0.0099921
                  10,            0.026461,            0.020012,           0.0062265,             0.89133,             0.97668,             0.99074,             0.79581,            0.021466,            0.011872,           0.0012458,           0.0099911,           0.0099911,           0.0099911
                  11,            0.026951,            0.019182,           0.0058622,             0.86558,             0.98254,             0.98962,             0.80565,            0.021244,            0.011626,           0.0012393,           0.0099901,           0.0099901,           0.0099901
                  12,            0.025767,             0.01752,            0.006077,             0.89722,             0.97147,             0.99035,             0.79945,            0.021484,            0.011622,           0.0011708,           0.0099891,           0.0099891,           0.0099891
                  13,            0.026636,            0.019668,           0.0059406,             0.88421,             0.97429,             0.99245,             0.81013,            0.021464,             0.01188,           0.0011733,           0.0099881,           0.0099881,           0.0099881
                  14,            0.027459,            0.019671,           0.0058688,             0.89193,             0.97093,             0.98865,             0.79296,            0.021853,            0.012057,           0.0012154,           0.0099871,           0.0099871,           0.0099871
                  15,            0.026671,             0.01841,           0.0062534,             0.89291,             0.97196,             0.98892,             0.80021,            0.020912,            0.011925,            0.001284,           0.0099861,           0.0099861,           0.0099861
                  16,            0.026526,            0.019069,           0.0059617,              0.9022,             0.97402,             0.99259,             0.78744,            0.022674,             0.01223,           0.0012313,           0.0099851,           0.0099851,           0.0099851
                  17,            0.027372,            0.019684,           0.0059553,             0.89334,              0.9799,             0.99041,             0.80439,            0.022699,            0.012411,           0.0012332,           0.0099842,           0.0099842,           0.0099842
                  18,            0.026407,            0.019385,           0.0060415,             0.90989,             0.98204,             0.98968,             0.76347,            0.023416,            0.012372,           0.0013743,           0.0099832,           0.0099832,           0.0099832
                  19,            0.026825,            0.019991,           0.0060155,             0.89683,             0.98914,              0.9879,             0.78332,            0.021255,               0.012,           0.0012465,           0.0099822,           0.0099822,           0.0099822
                  20,            0.025881,            0.018564,           0.0060013,             0.91668,             0.98481,             0.99137,             0.78742,            0.021028,            0.011968,           0.0012255,           0.0099812,           0.0099812,           0.0099812
                  21,            0.026925,            0.018162,           0.0059691,             0.90349,             0.98123,             0.99266,             0.77972,            0.021283,            0.011926,           0.0012447,           0.0099802,           0.0099802,           0.0099802
                  22,            0.026097,            0.018963,           0.0060852,             0.89224,               0.989,             0.98897,             0.77608,            0.021448,            0.012003,           0.0012416,           0.0099792,           0.0099792,           0.0099792
                  23,            0.025892,            0.019076,           0.0063129,             0.90036,             0.98167,             0.99003,             0.78619,            0.020858,            0.011995,           0.0011824,           0.0099782,           0.0099782,           0.0099782
                  24,            0.027178,            0.019801,           0.0060376,             0.89094,             0.98495,             0.99173,             0.77938,            0.022613,            0.012149,           0.0012211,           0.0099772,           0.0099772,           0.0099772
                  25,            0.026349,            0.019841,            0.006308,             0.89387,             0.98544,             0.99081,              0.7944,            0.021876,             0.01215,           0.0012585,           0.0099762,           0.0099762,           0.0099762
                  26,            0.026947,            0.020667,           0.0062799,             0.88413,             0.98251,             0.98848,             0.78959,            0.021445,            0.012112,           0.0011799,           0.0099753,           0.0099753,           0.0099753
                  27,            0.025276,            0.019527,           0.0063738,             0.89104,             0.97917,             0.99206,             0.79925,            0.020723,            0.012076,           0.0012344,           0.0099743,           0.0099743,           0.0099743
                  28,            0.027968,            0.020081,           0.0064037,             0.89062,             0.98871,             0.98921,             0.77621,            0.023072,            0.012309,           0.0012306,           0.0099733,           0.0099733,           0.0099733
                  29,            0.026487,            0.020963,           0.0059232,             0.89717,             0.98581,             0.99284,             0.80722,            0.021114,            0.011957,           0.0012449,           0.0099723,           0.0099723,           0.0099723
                  30,            0.026683,            0.019488,           0.0061839,             0.88812,             0.98205,             0.99107,              0.7945,            0.021486,            0.012176,           0.0012311,           0.0099713,           0.0099713,           0.0099713
                  31,            0.025359,            0.018883,           0.0062031,             0.91087,             0.96485,             0.99062,             0.79674,            0.020159,            0.011778,           0.0012329,           0.0099703,           0.0099703,           0.0099703
                  32,            0.026719,            0.019492,           0.0057137,             0.86836,              0.9672,             0.98872,             0.78448,            0.022748,            0.012518,           0.0013075,           0.0099693,           0.0099693,           0.0099693
                  33,            0.025957,            0.019189,           0.0061665,             0.90834,             0.98832,             0.99347,             0.80838,            0.020588,            0.011765,           0.0012466,           0.0099683,           0.0099683,           0.0099683
                  34,            0.026332,            0.020028,           0.0060205,             0.88335,             0.98153,             0.99173,             0.78479,            0.022371,            0.012263,            0.001137,           0.0099673,           0.0099673,           0.0099673
                  35,            0.026706,            0.020106,           0.0059078,             0.87554,             0.98448,             0.99071,             0.80055,            0.020928,            0.012083,           0.0012053,           0.0099663,           0.0099663,           0.0099663
                  36,            0.026964,            0.018371,           0.0061401,             0.90305,              0.9857,             0.98995,             0.79549,            0.022114,            0.012153,           0.0012011,           0.0099654,           0.0099654,           0.0099654
                  37,             0.02792,            0.020358,           0.0060083,              0.9004,             0.98692,             0.99312,             0.79629,            0.022039,            0.012029,           0.0012702,           0.0099644,           0.0099644,           0.0099644
                  38,            0.026942,             0.01934,           0.0059187,             0.89492,             0.98715,             0.99041,             0.78845,            0.020991,            0.011979,           0.0013109,           0.0099634,           0.0099634,           0.0099634
                  39,            0.027187,            0.018063,           0.0062349,             0.88885,             0.98918,             0.99358,             0.80099,            0.021735,            0.012086,             0.00127,           0.0099624,           0.0099624,           0.0099624
                  40,            0.026114,            0.020222,           0.0059535,             0.88692,             0.97732,             0.99237,             0.79858,             0.02151,            0.012173,            0.001263,           0.0099614,           0.0099614,           0.0099614
                  41,            0.026547,            0.018755,            0.006056,             0.88236,             0.97693,             0.98995,             0.81007,            0.020503,            0.012104,            0.001295,           0.0099604,           0.0099604,           0.0099604
                  42,            0.026222,            0.019116,            0.005903,             0.88537,              0.9877,             0.99226,             0.80588,            0.021413,            0.011855,            0.001267,           0.0099594,           0.0099594,           0.0099594
                  43,            0.026579,             0.01968,           0.0059818,             0.88965,              0.9773,             0.99261,             0.81406,            0.021024,            0.011886,           0.0012477,           0.0099584,           0.0099584,           0.0099584
